Fingerprint Point,Axis,Nominal,Bunny_1,Bunny_2,Bunny_3,Bunny_4,d_Bunny_1,d_Bunny_2,d_Bunny_3,d_Bunny_4
Point_vert_leg_right_6,Z,1.12,0.93,0.76,0.96,7.35,0.19,0.36,0.16,-6.23
Point_vert_leg_right_6,Y,14.63,14.57,14.59,14.7,12.07,0.06,0.04,-0.07,2.56
Point_vert_leg_right_6,X,15.9,15.86,15.87,15.76,4.78,0.04,0.03,0.14,11.12
 Point_vert_leg_right_5,Z,3.34,3.13,2.92,3.13,8.38,0.21,0.42,0.21,-5.04
 Point_vert_leg_right_5,Y,15.76,15.62,15.63,15.73,14.27,0.14,0.13,0.03,1.49
 Point_vert_leg_right_5,X,15.9,15.88,15.92,15.77,4.66,0.02,-0.02,0.13,11.24
 Point_vert_leg_right_4,Z,5.67,5.47,5.28,5.49,8.81,0.2,0.39,0.18,-3.14
 Point_vert_leg_right_4,Y,16.31,16.21,16.25,16.35,16.66,0.1,0.06,-0.04,-0.35
 Point_vert_leg_right_4,X,15.9,15.89,15.94,15.74,4.59,0.01,-0.04,0.16,11.31
 Point_vert_leg_left_6,Z,0.74,0.51,3.05,3.23,-5.91,0.23,-2.31,-2.49,6.65
 Point_vert_leg_left_6,Y,1.26,1.34,1.35,1.43,14.16,-0.08,-0.09,-0.17,-12.9
 Point_vert_leg_left_6,X,15.9,15.93,16.08,16.08,5.59,-0.03,-0.18,-0.18,10.31
 Point_vert_leg_left_5,Z,1.77,1.67,0,0,0,0.1,1.77,1.77,1.77
 Point_vert_leg_left_5,Y,1.91,2.06,0,0,0,-0.15,1.91,1.91,1.91
 Point_vert_leg_left_5,X,15.9,16.01,0,0,0,-0.11,15.9,15.9,15.9
 Point_vert_leg_left_4,Z,3.45,3.31,6.53,6.7,-6.19,0.14,-3.08,-3.25,9.64
 Point_vert_leg_left_4,Y,1.22,1.31,1.06,1.16,17.67,-0.09,0.16,0.06,-16.45
 Point_vert_leg_left_4,X,15.9,16.01,14.83,14.82,6.83,-0.11,1.07,1.08,9.07
 Point_vert_back_3,Z,14.21,14.04,13.83,13.97,-1.96,0.17,0.38,0.24,16.17
 Point_vert_back_3,Y,5.45,5.48,5.46,5.6,25.21,-0.03,-0.01,-0.15,-19.76
 Point_vert_back_3,X,15.9,16.08,16.15,15.98,5.15,-0.18,-0.25,-0.08,10.75
 Point_vert_back_2,Z,14.75,14.66,14.51,14.64,0.52,0.09,0.24,0.11,14.23
 Point_vert_back_2,Y,7.99,7.98,7.97,8.09,25.67,0.01,0.02,-0.1,-17.68
 Point_vert_back_2,X,15.9,16.01,16.11,15.89,5.02,-0.11,-0.21,0.01,10.88
 Point_vert_back_1,Z,14.36,14.26,14.04,14.22,2.53,0.1,0.32,0.14,11.83
 Point_vert_back_1,Y,10.01,9.97,9.96,10.06,25.29,0.04,0.05,-0.05,-15.28
 Point_vert_back_1,X,15.9,16,16.09,15.84,4.88,-0.1,-0.19,0.06,11.02
 Point_tilt_ear_3,Z,19.88,19.6,22.52,20.69,2.18,0.28,-2.64,-0.81,17.7
 Point_tilt_ear_3,Y,9.34,9.41,9.03,7.94,30.63,-0.07,0.31,1.4,-21.29
 Point_tilt_ear_3,X,11.91,11.99,11.8,12.71,8.84,-0.08,0.11,-0.8,3.07
 Point_tilt_ear_2,Z,20.75,20.51,20.35,20.47,1.92,0.24,0.4,0.28,18.83
