Fingerprint location,Axis,Nominal,Bunny_1,Bunny_2,Bunny_3,Bunny_4
 Point_vert_leg_right_6,Z,1.12,1.02,0.97,1.06,0.94
 Point_vert_leg_right_6,Y,14.63,14.51,14.6,14.49,14.58
 Point_vert_leg_right_6,X,15.9,15.88,15.82,15.87,15.81
 Point_vert_leg_right_5,Z,3.34,3.22,3.14,3.17,3.16
 Point_vert_leg_right_5,Y,15.76,15.55,15.63,15.59,15.69
 Point_vert_leg_right_5,X,15.9,15.9,15.84,15.86,15.82
 Point_vert_leg_right_4,Z,5.67,5.57,5.49,5.56,5.5
 Point_vert_leg_right_4,Y,16.31,16.13,16.24,16.13,16.13
 Point_vert_leg_right_4,X,15.9,15.9,15.82,15.81,15.84
 Point_vert_leg_left_6,Z,0.74,0.59,0.24,0.53,0.51
 Point_vert_leg_left_6,Y,1.26,1.34,1.85,1.49,1.45
 Point_vert_leg_left_6,X,15.9,15.85,15.74,15.74,15.79
 Point_vert_leg_left_5,Z,1.77,1.73,1.07,1.64,1.5
 Point_vert_leg_left_5,Y,1.91,1.93,2.44,2.03,2.07
 Point_vert_leg_left_5,X,15.9,15.92,15.84,15.84,15.87
 Point_vert_leg_left_4,Z,3.45,3.36,3.28,3.37,3.27
 Point_vert_leg_left_4,Y,1.22,1.24,1.35,1.26,1.33
 Point_vert_leg_left_4,X,15.9,15.94,15.94,15.83,15.9
 Point_vert_back_3,Z,14.21,14.11,14.11,14.07,14
 Point_vert_back_3,Y,5.45,5.37,5.45,5.44,5.56
 Point_vert_back_3,X,15.9,15.97,15.81,15.81,15.92
 Point_vert_back_2,Z,14.75,14.8,14.77,14.88,14.67
 Point_vert_back_2,Y,7.99,7.88,7.98,7.95,7.99
 Point_vert_back_2,X,15.9,15.92,15.78,15.76,15.91
 Point_vert_back_1,Z,14.36,14.32,14.39,14.46,14.27
 Point_vert_back_1,Y,10.01,9.86,9.98,9.95,10
 Point_vert_back_1,X,15.9,15.92,15.77,15.75,15.91
 Point_tilt_ear_3,Z,19.88,19.65,19.52,19.63,19.56
 Point_tilt_ear_3,Y,9.34,9.31,9.45,9.4,9.45
 Point_tilt_ear_3,X,11.91,11.89,11.74,11.73,11.94
 Point_tilt_ear_2,Z,20.75,20.55,20.5,20.49,20.42
 Point_tilt_ear_2,Y,9.01,8.93,9.13,9.18,9.11
 Point_tilt_ear_2,X,11.05,11.09,10.92,10.91,11.13
 Point_tilt_ear_1,Z,21.18,20.97,20.98,21.1,20.93
 Point_tilt_ear_1,Y,10.08,9.94,10.05,10.01,10.1
 Point_tilt_ear_1,X,10.62,10.74,10.53,10.56,10.73
 Point_tilt_back_right_3,Z,9.73,9.64,9.55,9.54,9.57
 Point_tilt_back_right_3,Y,13.55,13.38,13.42,13.42,13.45
 Point_tilt_back_right_3,X,22.06,22.04,21.93,21.92,21.98
 Point_tilt_back_right_2,Z,10.84,10.73,10.62,10.65,10.61
 Point_tilt_back_right_2,Y,13.1,12.91,12.98,12.99,13.05
 Point_tilt_back_right_2,X,20.95,20.95,20.85,20.81,20.9
 Point_tilt_back_right_1,Z,12.12,12,11.9,11.93,11.91
 Point_tilt_back_right_1,Y,13.12,12.89,12.93,12.97,13.02
 Point_tilt_back_right_1,X,19.68,19.67,19.54,19.54,19.65
 Point_tilt_back_left_3,Z,10.45,10.32,10.2,10.62,10.18
 Point_tilt_back_left_3,Y,2.18,2.19,2.39,2.15,2.32
 Point_tilt_back_left_3,X,21.34,21.33,21.18,21.18,21.27
 Point_tilt_back_left_2,Z,11.57,11.41,11.27,11.29,11.29
