bunny_id,til_err_x,til_err_y,til_err_z,hor_err_x,hor_err_y,hor_err_z,ver_err_x,ver_err_y,ver_err_z,laser_power,laser_speed,hatch_space
bunny_1,0.662,0.344,0.776,0.709,0.342,0.377,0.638,0.361,0.359,0.3,0.55,0.33
bunny_2,0.672,0.358,0.793,0.72,0.353,0.392,0.648,0.37,0.372,0.3,0.4750,0.33
bunny_3,0.669,0.363,0.83,0.724,0.364,0.406,0.649,0.381,0.386,0.3,0.4250,0.33
bunny_4,0.666,0.372,0.85,0.727,0.372,0.416,0.649,0.392,0.392,0.3,0.4,0.33
bunny_5,0.648,0.351,0.713,0.682,0.34,0.349,0.618,0.361,0.332,0.32,0.4,0.33
bunny_6,1.68,0.352,1.838,0.7,0.341,0.356,0.634,0.358,0.337,0.34,0.4,0.33
bunny_7,0.672,0.343,0.741,0.708,0.337,0.361,0.64,0.356,0.342,0.36,0.4,0.33
bunny_8,0.662,0.353,0.757,0.706,0.35,0.37,0.633,0.367,0.351,0.38,0.4,0.33
bunny_9,0.662,0.344,0.776,0.709,0.342,0.377,0.638,0.361,0.359,0.4,0.4,0.33
bunny_10,0.661,0.374,0.816,0.714,0.37,0.4,0.639,0.388,0.378,0.3,0.4,0.23
bunny_11,0.662,0.356,0.743,0.704,0.347,0.364,0.636,0.366,0.344,0.3,0.4,0.29
bunny_12,0.664,0.346,0.717,0.697,0.337,0.35,0.632,1.279,0.333,0.3,0.4,0.32
